TA00020,TA00021,TA00023,TA00024,TA00025,TA00026,TA00027,TA00028,TA00029,TA00030,TA00054,TA00056,TA00057,TA00061,TA00064,TA00065,TA00066,TA00067,TA00068,TA00069,TA00070,TA00071,TA00072,TA00073,TA00074,TA00076,TA00077
0,0,0,0.04,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
0,0,0,0.04,0.02,0,0,0.11,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
0,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0.05,0,0,0,0,0.08,0.1,0.2,0,0,0,0,0,0
0,0,0,0.04,0,0.12,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.14,0,0,0
0,0,0,0,0,0.21,4.83,0.07,22.24,0.02,6.94,6.19,0,8.64,0,0.11,0,6.27,0.04,0.04,0,0,0,1.35,0.08,2.39,5.6
0.41,0,1.23,0.15,0,0.08,0.22,0,1.55,13.4,0.14,0,0.02,0.02,2.49,0,0,12,0.15,0.04,0,0,0,0,0,0.12,0
0.02,0,1.06,0.06,0.02,0,2.35,0,0,0.12,0,1.9,0,0,0,0,0,5.41,0,0.02,0.2,0,0,0,2.02,0,0
0.04,0,0.29,0.02,0,0,0.14,0.02,0.17,0.23,0,1.16,0,0,0,0,0.22,0.02,0.92,0.38,0.2,0.6,0,0,3.8,0,0
2.34,0,0,0.06,0.04,0.22,31.33,0.15,0.31,0.04,0,17.44,0.19,0,0,2.63,0.5,0.04,1.38,0.1,0.2,0.6,0,0,50.07,0,0.14
0,0,0.04,0,0,0.02,0.86,0.17,0.55,0.04,3.88,0.96,0.39,0.62,0,20.35,0,0,0.02,0.27,0,0.2,0,2.63,1.31,15.59,7.87
0,0,0,0,6.59,0,0,0.11,0,0.02,0.12,0.22,0.1,0.16,0,0,0.02,0,0,0.1,2.2,0.4,0,0,0.24,0.08,0.12
0,0,0,0,0,0,0.06,0,0,0.04,0,0.08,0,0.18,0,0,0.14,0.08,0.52,0.06,0,0,0,0,0,0,0.2
